record_id,backend,model,run_k,ttft_s,gen_s,parse_s,latency_s,prompt_bytes,input_tokens,output_tokens,tps,energy_j,energy_note,odes_bytes,c_energy,c_billed,c_total,macro_f1,pred_json,apt_tp,apt_fp,apt_fn,cves_tp,cves_fp,cves_fn,techniques_tp,techniques_fp,techniques_fn,goals_tp,goals_fp,goals_fn,country_tp,country_fp,country_fn
Carbanak_APT_eng,local,llama3.1:8b-instruct-q4_K_M,1,46.395925,67.195781,0.000117,67.195898,1318,312,99,1.4733,1007.9367,tdp_fallback,0,3.36e-05,0.0,3.36e-05,0.293333,"{""apt"": [""Carbanak"", ""Carberp""], ""cves"": [""CVE-2012-0158"", ""CVE-2013-3906"", ""CVE-2014-1761""], ""techniques"": [""Exploit Public-Facing Application"", ""Lateral Movement""], ""goals"": [""espionage"", ""data exfiltration"", ""remote access""], ""country"": []}",1,1,0,2,1,0,0,2,0,0,3,0,0,0,0
Carbanak_APT_eng,local,llama3.1:8b-instruct-q4_K_M,2,0.35201,21.174372,2.4e-05,21.174396,1318,312,99,4.6755,317.6156,tdp_fallback,0,1.059e-05,0.0,1.059e-05,0.293333,"{""apt"": [""Carbanak"", ""Carberp""], ""cves"": [""CVE-2012-0158"", ""CVE-2013-3906"", ""CVE-2014-1761""], ""techniques"": [""Exploit Public-Facing Application"", ""Lateral Movement""], ""goals"": [""espionage"", ""data exfiltration"", ""remote access""], ""country"": []}",1,1,0,2,1,0,0,2,0,0,3,0,0,0,0
Carbanak_APT_eng,local,llama3.1:8b-instruct-q4_K_M,3,0.337813,21.15697,2.8e-05,21.156998,1318,312,99,4.6793,317.3545,tdp_fallback,0,1.058e-05,0.0,1.058e-05,0.293333,"{""apt"": [""Carbanak"", ""Carberp""], ""cves"": [""CVE-2012-0158"", ""CVE-2013-3906"", ""CVE-2014-1761""], ""techniques"": [""Exploit Public-Facing Application"", ""Lateral Movement""], ""goals"": [""espionage"", ""data exfiltration"", ""remote access""], ""country"": []}",1,1,0,2,1,0,0,2,0,0,3,0,0,0,0
Lazarus_Under_The_Hood_PDF_final,local,llama3.1:8b-instruct-q4_K_M,1,26.880176,39.528502,2.8e-05,39.52853,1315,305,61,1.5432,592.9275,tdp_fallback,0,1.976e-05,0.0,1.976e-05,0.2,"{""apt"": [""Lazarus""], ""cves"": [""CVE-2015-6585""], ""techniques"": [""spearphishing""], ""goals"": [""disruption"", ""raising operating costs for adversaries""], ""country"": []}",0,1,2,1,0,0,0,1,0,0,2,0,0,0,0
Lazarus_Under_The_Hood_PDF_final,local,llama3.1:8b-instruct-q4_K_M,2,0.347143,12.943188,2.7e-05,12.943215,1315,305,61,4.7129,194.1478,tdp_fallback,0,6.47e-06,0.0,6.47e-06,0.2,"{""apt"": [""Lazarus""], ""cves"": [""CVE-2015-6585""], ""techniques"": [""spearphishing""], ""goals"": [""disruption"", ""raising operating costs for adversaries""], ""country"": []}",0,1,2,1,0,0,0,1,0,0,2,0,0,0,0
Lazarus_Under_The_Hood_PDF_final,local,llama3.1:8b-instruct-q4_K_M,3,0.321673,12.947632,2e-05,12.947652,1315,305,61,4.7113,194.2145,tdp_fallback,0,6.47e-06,0.0,6.47e-06,0.2,"{""apt"": [""Lazarus""], ""cves"": [""CVE-2015-6585""], ""techniques"": [""spearphishing""], ""goals"": [""disruption"", ""raising operating costs for adversaries""], ""country"": []}",0,1,2,1,0,0,0,1,0,0,2,0,0,0,0
Op_Dust_Storm_Report,local,llama3.1:8b-instruct-q4_K_M,1,30.794315,43.460893,2.3e-05,43.460916,1342,333,61,1.4036,651.9134,tdp_fallback,0,2.173e-05,0.0,2.173e-05,0.2,"{""apt"": [""Operation Dust Storm""], ""cves"": [""CVE-2011-1255""], ""techniques"": [], ""goals"": [""gaining a foothold into victim networks"", ""espionage""], ""country"": [""China""]}",0,1,1,1,0,0,0,0,0,0,2,0,0,1,0
Op_Dust_Storm_Report,local,llama3.1:8b-instruct-q4_K_M,2,0.332521,13.016234,2.8e-05,13.016262,1342,333,61,4.6865,195.2435,tdp_fallback,0,6.51e-06,0.0,6.51e-06,0.2,"{""apt"": [""Operation Dust Storm""], ""cves"": [""CVE-2011-1255""], ""techniques"": [], ""goals"": [""gaining a foothold into victim networks"", ""espionage""], ""country"": [""China""]}",0,1,1,1,0,0,0,0,0,0,2,0,0,1,0
Op_Dust_Storm_Report,local,llama3.1:8b-instruct-q4_K_M,3,0.338821,13.008297,2.6e-05,13.008323,1342,333,61,4.6893,195.1245,tdp_fallback,0,6.5e-06,0.0,6.5e-06,0.2,"{""apt"": [""Operation Dust Storm""], ""cves"": [""CVE-2011-1255""], ""techniques"": [], ""goals"": [""gaining a foothold into victim networks"", ""espionage""], ""country"": [""China""]}",0,1,1,1,0,0,0,0,0,0,2,0,0,1,0
Symantec_Leafminer_New_Espionage_Campaigns_Targeting_Middle_,local,llama3.1:8b-instruct-q4_K_M,1,25.565335,41.895628,2.6e-05,41.895655,1318,295,79,1.8856,628.4344,tdp_fallback,0,2.095e-05,0.0,2.095e-05,0.333333,"{""apt"": [""Leafminer""], ""cves"": [""CVE-2014-0160"", ""CVE-2017-0144""], ""techniques"": [""Lateral Movement"", ""Exploitation of Vulnerability""], ""goals"": [""Ransomware"", ""Espionage""], ""country"": []}",1,0,0,1,1,0,0,2,0,0,2,0,0,0,0
Symantec_Leafminer_New_Espionage_Campaigns_Targeting_Middle_,local,llama3.1:8b-instruct-q4_K_M,2,0.320155,16.71202,2.6e-05,16.712046,1318,295,79,4.7272,250.6803,tdp_fallback,0,8.36e-06,0.0,8.36e-06,0.333333,"{""apt"": [""Leafminer""], ""cves"": [""CVE-2014-0160"", ""CVE-2017-0144""], ""techniques"": [""Lateral Movement"", ""Exploitation of Vulnerability""], ""goals"": [""Ransomware"", ""Espionage""], ""country"": []}",1,0,0,1,1,0,0,2,0,0,2,0,0,0,0
